"PassengerId","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked","Title","Deck","Family_Size","Fare_per_pclass","Survived"
1,"3","male",22.0,1,0,7.25,"S","Mr","Unknown",1,7.25,"0"
2,"1","female",38.0,1,0,71.2833,"C","Mrs","C",1,23.7611,"1"
3,"3","female",26.0,0,0,7.925,"S","Miss","Unknown",0,7.925,"1"
4,"1","female",35.0,1,0,53.1,"S","Mrs","C",1,17.7,"1"
5,"3","male",35.0,0,0,8.05,"S","Mr","Unknown",0,8.05,"0"
6,"3","male",32.108509651425784,0,0,8.4583,"Q","Mr","Unknown",0,8.4583,"0"
7,"1","male",54.0,0,0,51.8625,"S","Mr","E",0,17.287499999999998,"0"
8,"3","male",2.0,3,1,21.075,"S","Master","Unknown",4,21.075,"0"
9,"3","female",27.0,0,2,11.1333,"S","Mrs","Unknown",2,11.1333,"1"
10,"2","female",14.0,1,0,30.0708,"C","Mrs","Unknown",1,15.0354,"1"
11,"3","female",4.0,1,1,16.7,"S","Miss","G",2,16.7,"1"
12,"1","female",58.0,0,0,26.55,"S","Miss","C",0,8.85,"1"
13,"3","male",20.0,0,0,8.05,"S","Mr","Unknown",0,8.05,"0"
14,"3","male",39.0,1,5,31.275,"S","Mr","Unknown",6,31.275,"0"
15,"3","female",14.0,0,0,7.8542,"S","Miss","Unknown",0,7.8542,"0"
16,"2","female",55.0,0,0,16.0,"S","Mrs","Unknown",0,8.0,"1"
17,"3","male",2.0,4,1,29.125,"Q","Master","Unknown",5,29.125,"0"
18,"2","male",31.5781470886837,0,0,13.0,"S","Mr","Unknown",0,6.5,"1"
19,"3","female",31.0,1,0,18.0,"S","Mrs","Unknown",1,18.0,"0"
20,"3","female",30.18980087658253,0,0,7.225,"C","Mrs","Unknown",0,7.225,"1"
21,"2","male",35.0,0,0,26.0,"S","Mr","Unknown",0,13.0,"0"
22,"2","male",34.0,0,0,13.0,"S","Mr","D",0,6.5,"1"
23,"3","female",15.0,0,0,8.0292,"Q","Miss","Unknown",0,8.0292,"1"
24,"1","male",28.0,0,0,35.5,"S","Mr","A",0,11.833333333333334,"1"
25,"3","female",8.0,3,1,21.075,"S","Miss","Unknown",4,21.075,"0"
26,"3","female",38.0,1,5,31.3875,"S","Mrs","Unknown",6,31.3875,"1"
27,"3","male",29.282989100593632,0,0,7.225,"C","Mr","Unknown",0,7.225,"0"
28,"1","male",19.0,3,2,263.0,"S","Mr","C",5,87.66666666666667,"0"
